問題文	答え	メモ	ジャンル
元素の周期表で、第11族に属している4つの元素とは、銅・銀・金ともう1つは何でしょう？	レントゲニウム	"金・銀・銅が属することから第11族元素のことを「オリンピック元素」と呼んだりします。
この問題の構成だと、仲間外れなレントゲニウムが聞かれるのが一般的です。元素に関する問題は以下にまとめてあります。"	
代表作に『古都』『伊豆の踊子』『雪国』がある、日本人で初めてノーベル文学賞を受賞した人物は誰でしょう？	川端康成	ノーベル賞はクイズの頻出事項です。日本人の受賞者は押さえておきましょう！	
誘拐事件などの被害者が、犯人と長い時間を共にすることにより犯人に好意的な感情を抱くことを、ある都市の名前を使って「何症候群」というでしょう？	ストックホルム症候群	これもクイズでよく聞かれる心理現象です。ストックホルムで起きた銀行強盗人質立てこもり事件でこの現象が見られたことからこの名前がつけられました。	
製紙法が西方に伝わるきっかけとなった、751年に唐とアッバース朝の間で起こった戦いは何でしょう？	タラス河畔の戦い	アッバース朝はイスラム帝国第二の王朝です。中央アジアの覇権が争われました。大敗した唐がもっていた製紙法がアラビア人によって西方に伝えられました。	
帰ろうとする人を引き止めるかのように降ってくる雨のことを「何の雨」というでしょう？	遣らずの雨	川中美幸さんの歌のタイトルにもなっています。	
元々はフランス革命の際の革命歌であった、現在のフランスの国歌は何でしょう？	『ラ・マルセイエーズ』	外国の国歌の中では有名なので是非とも覚えましょう。	
「木曾路は全て山の中である」という書きだしで始まる、島崎藤村の小説は何でしょう？	『夜明け前』	"書き出し問題です。島崎藤村は日本ペンクラブの初代会長であることで有名で、他の代表作に『破戒』『若菜集』などがあります。
クイズによく出る書き出し問題は以下にまとめてあります。"	
食後の軽い運動のことを「腹ごなし」といいますが、決めつけた態度をとることを「何ごなし」というでしょう？	頭ごなし	前振りと答えが似た語幹になるという少し珍しい形のパラレル問題です。	
カニやエビの缶詰の中にガラスのような結晶が生じてしまう現象を何というでしょう？	ストラバイト現象	カニやエビの中に含まれる成分が缶の鉄やスズと反応してガラスのような結晶が生じてしまいます。これを防ぐために、「酸性パーチ」という紙が缶の中に入れてあります。	
日本を「恥の文化」、欧米を「罪の文化」と分類した、文化人類学者ルース・ベネディクトの著書は何でしょう？	『菊と刀』	"日本には一度も来たことがなかったそうですが、日本のことをとても勉強して書き上げました。
「恥の文化」とは、人がいるところでは日本人は悪いことをしないことを表した言葉です。"	
